0101.co.jp,"HTTPSConnectionPool(host='0101.co.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7feb4ae88fd0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='0101.co.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7feb4ac11df0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
022.co.il,"HTTPConnectionPool(host='0.0.0.0', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7feb4a3fbf70>: Failed to establish a new connection: [Errno 111] Connection refused'))","HTTPConnectionPool(host='0.0.0.0', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7feb4a4112b0>: Failed to establish a new connection: [Errno 111] Connection refused'))"
056.ua,"HTTPSConnectionPool(host='www.056.ua', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.056.ua', port=443): Read timed out. (read timeout=2)"
109.hu,Exceeded 30 redirects.,Exceeded 30 redirects.
126,"HTTPSConnectionPool(host='126', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7feb474ce670>, 'Connection to 126 timed out. (connect timeout=2)'))","HTTPConnectionPool(host='126', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7feb47cdbd60>, 'Connection to 126 timed out. (connect timeout=2)'))"
129,"HTTPSConnectionPool(host='129', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7feb491d75b0>, 'Connection to 129 timed out. (connect timeout=2)'))","HTTPConnectionPool(host='129', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7feb479ef130>, 'Connection to 129 timed out. (connect timeout=2)'))"
160,"HTTPSConnectionPool(host='160', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7feb473a15e0>, 'Connection to 160 timed out. (connect timeout=2)'))","HTTPConnectionPool(host='160', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7feb49a75fd0>, 'Connection to 160 timed out. (connect timeout=2)'))"
163.com,"HTTPSConnectionPool(host='163.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7feb4718a700>, 'Connection to 163.com timed out. (connect timeout=2)'))","HTTPConnectionPool(host='163.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7feb473a11c0>, 'Connection to 163.com timed out. (connect timeout=2)'))"
167,"HTTPSConnectionPool(host='167', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7feb4ad04ca0>, 'Connection to 167 timed out. (connect timeout=2)'))","HTTPConnectionPool(host='167', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7feb4718a400>, 'Connection to 167 timed out. (connect timeout=2)'))"
179,"HTTPSConnectionPool(host='179', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7feb49e20550>, 'Connection to 179 timed out. (connect timeout=2)'))","HTTPConnectionPool(host='179', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7feb490eac70>, 'Connection to 179 timed out. (connect timeout=2)'))"
