baodanang.vn,"HTTPSConnectionPool(host='baodanang.vn', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='baodanang.vn', port=443): Read timed out. (read timeout=2)"
baodantoc.vn,"HTTPSConnectionPool(host='baodantoc.vn', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='baodantoc.vn', port=443): Read timed out. (read timeout=2)"
baophuyen.com.vn,"HTTPSConnectionPool(host='baophuyen.com.vn', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'baophuyen.com.vn' doesn't match either of 'vkspy.gov.vn', 'www.vkspy.gov.vn'"")))","HTTPConnectionPool(host='baophuyen.com.vn', port=80): Read timed out. (read timeout=2)"
baosoctrang.org.vn,"HTTPSConnectionPool(host='baosoctrang.org.vn', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1124)')))","HTTPConnectionPool(host='baosoctrang.org.vn', port=80): Read timed out. (read timeout=2)"
bappenas.go.id,"HTTPSConnectionPool(host='www.bappenas.go.id', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.bappenas.go.id', port=443): Read timed out. (read timeout=2)"
bartofil.com.br,"HTTPSConnectionPool(host='bartofil.com.br', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='www.bartofil.com.br', port=443): Max retries exceeded with url: /site/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
baskenthastaneleri.com,"HTTPSConnectionPool(host='baskenthastaneleri.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'baskenthastaneleri.com' doesn't match either of '*.baskent.edu.tr', 'baskent.edu.tr'"")))","HTTPSConnectionPool(host='baskenthastaneleri.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'baskenthastaneleri.com' doesn't match either of '*.baskent.edu.tr', 'baskent.edu.tr'"")))"
bau.edu.jo,"HTTPSConnectionPool(host='bau.edu.jo', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='bau.edu.jo', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
bauhaus.com.tr,"HTTPSConnectionPool(host='bauhaus.com.tr', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fa3fb9e6760>, 'Connection to bauhaus.com.tr timed out. (connect timeout=2)'))","HTTPConnectionPool(host='bauhaus.com.tr', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fa3fba02fd0>, 'Connection to bauhaus.com.tr timed out. (connect timeout=2)'))"
bayynat.org,"HTTPSConnectionPool(host='bayynat.org', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa3fb99b310>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='bayynat.org', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3fba65340>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
bca.gov.sg,"HTTPSConnectionPool(host='bca.gov.sg', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='bca.gov.sg', port=80): Read timed out. (read timeout=2)"
bce.fin.ec,"HTTPSConnectionPool(host='bce.fin.ec', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa3fb8f43a0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='bce.fin.ec', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3fba022b0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
bci.cl,"HTTPSConnectionPool(host='bci.cl', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='bci.cl', port=80): Read timed out. (read timeout=2)"
