book-ye.com.ua,"HTTPSConnectionPool(host='book-ye.com.ua', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='book-ye.com.ua', port=443): Read timed out. (read timeout=2)"
booknation.ro,"HTTPSConnectionPool(host='booknation.ro', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='booknation.ro', port=443): Read timed out. (read timeout=2)"
booksale.pl,"('Received response with content-encoding: gzip, but failed to decode it.', error('Error -3 while decompressing data: incorrect data check'))","('Received response with content-encoding: gzip, but failed to decode it.', error('Error -3 while decompressing data: incorrect data check'))"
bopp-obec.info,"HTTPSConnectionPool(host='bopp-obec.info', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f18a47a4ee0>, 'Connection to bopp-obec.info timed out. (connect timeout=2)'))","HTTPConnectionPool(host='bopp-obec.info', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f18a41c2400>, 'Connection to bopp-obec.info timed out. (connect timeout=2)'))"
borgerrehab.dk,"HTTPSConnectionPool(host='borgerrehab.dk', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f18a440ef10>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='borgerrehab.dk', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f18a44afa00>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
borneonews.co.id,"HTTPSConnectionPool(host='www.borneonews.co.id', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.borneonews.co.id', port=443): Read timed out. (read timeout=2)"
bot.or.th,"HTTPSConnectionPool(host='bot.or.th', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f18a447f3d0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='bot.or.th', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f18a44af4f0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
brack.ch,"HTTPSConnectionPool(host='www.brack.ch', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.brack.ch', port=443): Read timed out. (read timeout=2)"
bracu.ac.bd,"HTTPSConnectionPool(host='bracu.ac.bd', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='bracu.ac.bd', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
bradva.bg,"HTTPSConnectionPool(host='bradva.bg', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='bradva.bg', port=80): Read timed out. (read timeout=2)"
branchen-info.net,"HTTPConnectionPool(host='www.branchen-info.net', port=80): Read timed out. (read timeout=2)","HTTPConnectionPool(host='www.branchen-info.net', port=80): Read timed out. (read timeout=2)"
brandsouthafrica.com,"HTTPSConnectionPool(host='www.brandsouthafrica.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.brandsouthafrica.com', port=443): Read timed out. (read timeout=2)"
