detinjarije.com,"HTTPSConnectionPool(host='detinjarije.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='detinjarije.com', port=443): Read timed out. (read timeout=2)"
detmir.ru,"HTTPSConnectionPool(host='www.detmir.ru', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fdcc4ff7670>, 'Connection to www.detmir.ru timed out. (connect timeout=2)'))","HTTPConnectionPool(host='detmir.ru', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fdcc4f71190>, 'Connection to detmir.ru timed out. (connect timeout=2)'))"
deu.edu.tr,"HTTPSConnectionPool(host='deu.edu.tr', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fdcc4fbbc10>, 'Connection to deu.edu.tr timed out. (connect timeout=2)'))","HTTPConnectionPool(host='deu.edu.tr', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdcc4f88220>: Failed to establish a new connection: [Errno 111] Connection refused'))"
dgs.pt,"HTTPSConnectionPool(host='dgs.pt', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fdcc4e92670>, 'Connection to dgs.pt timed out. (connect timeout=2)'))","HTTPConnectionPool(host='dgs.pt', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fdcc4f05dc0>, 'Connection to dgs.pt timed out. (connect timeout=2)'))"
dgsi.pt,"HTTPSConnectionPool(host='dgsi.pt', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdcc4efb970>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='dgsi.pt', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdcc4f65970>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
dha.gov.za,"HTTPSConnectionPool(host='dha.gov.za', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdcc4f65e80>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='dha.gov.za', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdcc5025700>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
dhgate.com,"HTTPConnectionPool(host='www.dhgate.com', port=80): Read timed out. (read timeout=2)","HTTPConnectionPool(host='www.dhgate.com', port=80): Read timed out. (read timeout=2)"
diaadiaeducacao.pr.gov.br,"HTTPSConnectionPool(host='diaadiaeducacao.pr.gov.br', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdcc5057880>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='diaadiaeducacao.pr.gov.br', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdcc4f65520>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
diadiemanuong.com,"HTTPSConnectionPool(host='diadiemanuong.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1124)')))","HTTPSConnectionPool(host='riviu.vn', port=443): Read timed out. (read timeout=2)"
dian.gov.co,"HTTPSConnectionPool(host='dian.gov.co', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdcc50255b0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='dian.gov.co', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdcc5025760>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
diario1.com,"HTTPSConnectionPool(host='diario1.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdcc5025d00>: Failed to establish a new connection: [Errno 111] Connection refused'))","HTTPConnectionPool(host='diario1.com', port=80): Read timed out. (read timeout=2)"
diariocolatino.com,"HTTPSConnectionPool(host='www.diariocolatino.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.diariocolatino.com', port=443): Read timed out. (read timeout=2)"
diariocronicas.com.uy,"HTTPSConnectionPool(host='www.diariocronicas.com.uy', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.diariocronicas.com.uy', port=443): Read timed out. (read timeout=2)"
diarioelpueblo.com.uy,"HTTPSConnectionPool(host='diarioelpueblo.com.uy', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='diarioelpueblo.com.uy', port=443): Read timed out. (read timeout=2)"
dienbien.gov.vn,"HTTPSConnectionPool(host='dienbien.gov.vn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fdcc4f65cd0>, 'Connection to dienbien.gov.vn timed out. (connect timeout=2)'))","HTTPConnectionPool(host='dienbien.gov.vn', port=80): Read timed out. (read timeout=2)"
difesa.it,"HTTPSConnectionPool(host='difesa.it', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fdcc4cbbf10>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='difesa.it', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fdcc4fd14f0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
digiboss.cz,"HTTPSConnectionPool(host='digiboss.cz', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'digiboss.cz' doesn't match 'www.digiboss.cz'"")))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
digitallife.gr,"HTTPSConnectionPool(host='www.digitallife.gr', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.digitallife.gr', port=443): Read timed out. (read timeout=2)"
dimensioneotticadiabbattista.it,Exceeded 30 redirects.,Exceeded 30 redirects.
dioezese-linz.at,"HTTPSConnectionPool(host='dioezese-linz.at', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1124)')))","HTTPSConnectionPool(host='dioezese-linz.at', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1124)')))"
diplomeo.com,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
diritto.it,"HTTPSConnectionPool(host='diritto.it', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fdcc4bed8e0>, 'Connection to diritto.it timed out. (connect timeout=2)'))","HTTPConnectionPool(host='diritto.it', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fdcc4d39130>, 'Connection to diritto.it timed out. (connect timeout=2)'))"
districomp.com.uy,"HTTPSConnectionPool(host='districomp.com.uy', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='districomp.com.uy', port=443): Read timed out. (read timeout=2)"
