e-hon.ne.jp,"HTTPSConnectionPool(host='e-hon.ne.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fe5a87ff0d0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='e-hon.ne.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe5a7bceb50>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
e-leclerc.pt,"HTTPSConnectionPool(host='e-leclerc.pt', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='e-leclerc.pt', port=443): Read timed out. (read timeout=2)"
e-magin.se,"HTTPSConnectionPool(host='e-magin.se', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fe5a87ffdf0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='e-magin.se', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe5aa0c9490>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
e-map.ne.jp,"HTTPSConnectionPool(host='e-map.ne.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fe5a77ac220>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='e-map.ne.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe5a820a7c0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
e-nomothesia.gr,"HTTPSConnectionPool(host='e-nomothesia.gr', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fe5a72b5d90>, 'Connection to e-nomothesia.gr timed out. (connect timeout=2)'))","HTTPConnectionPool(host='e-nomothesia.gr', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fe5a8dacac0>, 'Connection to e-nomothesia.gr timed out. (connect timeout=2)'))"
e-nyelv.hu,"HTTPSConnectionPool(host='e-nyelv.hu', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='e-nyelv.hu', port=443): Read timed out. (read timeout=2)"
eafit.edu.co,"HTTPSConnectionPool(host='eafit.edu.co', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fe5a8ce4d30>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='eafit.edu.co', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe5a73f1b20>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
eap.gr,"HTTPSConnectionPool(host='eap.gr', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fe5a5800640>, 'Connection to eap.gr timed out. (connect timeout=2)'))","HTTPConnectionPool(host='eap.gr', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fe5a723f640>, 'Connection to eap.gr timed out. (connect timeout=2)'))"
earth-car.com,"HTTPSConnectionPool(host='earth-car.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fe5a58009d0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='earth-car.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe5a6d88a30>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
eatour.it,"HTTPSConnectionPool(host='www.eatour.it', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.eatour.it', port=443): Read timed out. (read timeout=2)"
eatwell.co.il,"HTTPSConnectionPool(host='eatwell.co.il', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='eatwell.co.il', port=443): Read timed out. (read timeout=2)"
