env.go.jp,"HTTPSConnectionPool(host='env.go.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f66f6e3fd60>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='env.go.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f66f69526a0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
epixeiro.gr,"HTTPSConnectionPool(host='epixeiro.gr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'epixeiro.gr' doesn't match either of '*.dnsmadeeasy.com', 'dnsmadeeasy.com'"")))","HTTPSConnectionPool(host='www.epixeiro.gr', port=443): Read timed out. (read timeout=2)"
epm.com.co,"HTTPSConnectionPool(host='epm.com.co', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f66f411a6a0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))","HTTPConnectionPool(host='epm.com.co', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f66f6a01e20>: Failed to establish a new connection: [Errno 101] Network is unreachable'))"
eprice.it,"HTTPSConnectionPool(host='www.eprice.it', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.eprice.it', port=443): Read timed out. (read timeout=2)"
equipement.gov.ma,"HTTPSConnectionPool(host='equipement.gov.ma', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f66f5a95700>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='equipement.gov.ma', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f66f4ac2d60>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
erasmusmc.nl,"HTTPSConnectionPool(host='erasmusmc.nl', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='erasmusmc.nl', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
erbakan.edu.tr,"HTTPSConnectionPool(host='erbakan.edu.tr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='erbakan.edu.tr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
erciyes.edu.tr,"HTTPSConnectionPool(host='erciyes.edu.tr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='erciyes.edu.tr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
erdieindustries.co,"HTTPSConnectionPool(host='erdieindustries.co', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='erdieindustries.co', port=80): Read timed out. (read timeout=2)"
eroski.es,"HTTPSConnectionPool(host='eroski.es', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='eroski.es', port=443): Read timed out. (read timeout=2)"
esaunggul.ac.id,"HTTPSConnectionPool(host='esaunggul.ac.id', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='esaunggul.ac.id', port=443): Read timed out. (read timeout=2)"
