finanzas.gob.ec,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))","('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
finda.co.nz,"HTTPSConnectionPool(host='finda.co.nz', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1124)')))","HTTPSConnectionPool(host='finda.co.nz', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1124)')))"
fing.edu.uy,"HTTPSConnectionPool(host='fing.edu.uy', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f1819797610>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='fing.edu.uy', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f181aa88400>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
finnomena.com,"HTTPSConnectionPool(host='www.finnomena.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.finnomena.com', port=443): Read timed out. (read timeout=2)"
fiocruz.br,"HTTPSConnectionPool(host='portal.fiocruz.br', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='portal.fiocruz.br', port=443): Read timed out. (read timeout=2)"
firat.edu.tr,"HTTPSConnectionPool(host='firat.edu.tr', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f18189d9670>, 'Connection to firat.edu.tr timed out. (connect timeout=2)'))","HTTPConnectionPool(host='firat.edu.tr', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f1819345ca0>, 'Connection to firat.edu.tr timed out. (connect timeout=2)'))"
firstbanknigeria.com,"HTTPSConnectionPool(host='firstbanknigeria.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f1818117070>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='firstbanknigeria.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f18189d9940>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
fiscathema.nl,"HTTPSConnectionPool(host='fiscathema.nl', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f181a52c820>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='fiscathema.nl', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f18185a5d60>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
fisheries.go.th,"HTTPSConnectionPool(host='fisheries.go.th', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f18189e2250>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='fisheries.go.th', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f18185a5fa0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
flagma.ru,"HTTPSConnectionPool(host='flagma.ru', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1124)')))","HTTPSConnectionPool(host='flagma.ru', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1124)')))"
flagma.ua,"HTTPSConnectionPool(host='flagma.ua', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1124)')))","HTTPSConnectionPool(host='flagma.ua', port=443): Max retries exceeded with url: /uk/ (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1124)')))"
