handelszeitung.ch,utf-8,utf-8,utf-8
handicapenzo.nl,utf-8,utf-8,utf-8
handleidi.ng,utf-8,utf-8,utf-8
handleidingkwijt.com,UTF-8,utf-8,utf-8
hands.net,UTF-8,utf-8,utf-8
hanfa.hr,utf-8,utf-8,utf-8
hang.hu,UTF-8,utf-8,utf-8
hanganmihai.ro,utf-8,ascii,ascii
hange.ee,UTF-8,utf-8,utf-8
hanggiagood.com,UTF-8,utf-8,utf-8
hangngoainhap.com.vn,utf-8,utf-8,utf-8
hania.news,UTF-8,utf-8,
haninge.se,utf-8,utf-8,utf-8
haniotika-nea.gr,,utf-8,utf-8
hanked.ee,utf-8,utf-8,utf-8
hankkija.fi,UTF-8,utf-8,utf-8
hanmoto.com,UTF-8,utf-8,utf-8
hannansoppa.com,iso-8859-1,ascii,ascii
hanoi.gov.vn,UTF-8,utf-8,utf-8
hanoicomputer.vn,UTF-8,Windows-1254,utf-8
hanoimoi.com.vn,utf-8,utf-8,utf-8
hansabay.ee,utf-8,utf-8,utf-8
hansaplant.ee,UTF-8,utf-8,utf-8
hansapost.ee,utf-8,utf-8,utf-8
hant.se,UTF-8,utf-8,utf-8
hanutk.co.il,UTF-8,Windows-1254,utf-8
haon.hu,UTF-8,utf-8,
hapakenya.com,UTF-8,utf-8,utf-8
hapche.bg,utf-8,UTF-8-SIG,UTF-8-SIG
hapijournal.com,UTF-8,utf-8,
hapisga.co.il,UTF-8,utf-8,utf-8
happy.com.tr,utf-8,utf-8,utf-8
happycenter.com.tr,utf-8,utf-8,utf-8
happycow.net,,ascii,ascii
happyfm.es,UTF-8,utf-8,utf-8
happyfresh.co.th,utf-8,utf-8,
happyfresh.id,utf-8,utf-8,utf-8
happykitchen.co.il,UTF-8,Windows-1254,
happymod.com,UTF-8,utf-8,utf-8
happymodern.ru,UTF-8,utf-8,utf-8
happymom.in.th,UTF-8,utf-8,
happyride.se,UTF-8,utf-8,utf-8
happytv.rs,UTF-8,utf-8,
happywedding.in.th,UTF-8,utf-8,utf-8
haps.pl,ISO-8859-2,ISO-8859-1,Windows-1252
hapsalons.nl,UTF-8,utf-8,utf-8
haraj.com,UTF-8,utf-8,utf-8
haraj.com.sa,utf-8,Windows-1254,utf-8
harakahdaily.net,,ISO-8859-1,utf-8
harald-nyborg.dk,UTF-8,utf-8,utf-8
harapanrakyat.com,UTF-8,ISO-8859-1,
harbourviewsuitespib.com,utf-8,ascii,ascii
harcourts.co.nz,utf-8,utf-8,utf-8
harcourts.co.za,utf-8,utf-8,utf-8
hardcoreteam.nl,utf-8,ascii,ascii
hardmob.com.br,UTF-8,ascii,
hardreset.info,utf-8,utf-8,utf-8
hardverapro.hu,utf-8,utf-8,utf-8
hardware.com.br,UTF-8,utf-8,utf-8
hardware.fr,,Windows-1252,latin_1
hardware.info,UTF-8,ascii,utf-8
hardwarebg.com,UTF-8,UTF-8-SIG,
hardwareluxx.de,utf-8,utf-8,utf-8
hardwareonline.dk,utf-8,utf-8,utf-8
hardwarezone.com.sg,UTF-8,utf-8,utf-8
hardworkout.no,utf-8,utf-8,utf-8
hardzone.es,UTF-8,utf-8,utf-8
haredimnet.co.il,utf-8,Windows-1254,MacCyrillic
harel-group.co.il,utf-8,utf-8,utf-8
harga.web.id,UTF-8,utf-8,utf-8
hargano.com,UTF-8,ascii,utf-8
harianaceh.co.id,UTF-8,utf-8,utf-8
harianbhirawa.co.id,iso-8859-1,ascii,ascii
harianjogja.com,UTF-8,ascii,utf-8
haribhoomi.com,utf-8,utf-8,utf-8
haridus.ee,,utf-8,utf-8
hariduskeskus.ee,utf-8,utf-8,utf-8
haritamap.com,UTF-8,utf-8,utf-8
haritane.com,utf-8,utf-8,utf-8
harjuelu.ee,UTF-8,utf-8,utf-8
harku.ee,UTF-8,utf-8,utf-8
harmonet.hu,UTF-8,utf-8,utf-8
harpersbazaar.com,UTF-8,utf-8,utf-8
harpersbazaar.rs,UTF-8,utf-8,utf-8
harpersbazaararabia.com,utf-8,ascii,ascii
harran.edu.tr,utf-8,utf-8,utf-8
harrods.com,UTF-8,Windows-1252,
harrybipedhiking.com,utf-8,ascii,ascii
harta.biz,UTF-8,ISO-8859-1,utf-8
hartlauer.at,UTF-8,utf-8,utf-8
hartman.fi,UTF-8,utf-8,utf-8
hartvannederland.nl,,ascii,utf-8
harvard.edu,UTF-8,utf-8,utf-8
harveynichols.com,UTF-8,ascii,ascii
harveynorman.com.au,UTF-8,utf-8,utf-8
harveynorman.com.my,,ascii,ascii
harveynorman.com.sg,,ascii,ascii
harveynorman.hr,UTF-8,utf-8,utf-8
harveynorman.ie,,ascii,ascii
harveynorman.si,UTF-8,utf-8,utf-8
has-sante.fr,UTF-8,utf-8,utf-8
has.gr,utf-8,utf-8,utf-8
hasaki.vn,UTF-8,utf-8,utf-8
hasanews.com,UTF-8,Windows-1254,utf-8
hashikma-holon.co.il,UTF-8,utf-8,utf-8
hashikma-rishon.co.il,UTF-8,utf-8,utf-8
hashulchan.co.il,UTF-8,utf-8,utf-8
haskovo.info,UTF-8,utf-8,
haskovo.live,UTF-8,utf-8,
haskovo.net,UTF-8,utf-8,utf-8
hasolidit.com,UTF-8,utf-8,utf-8
hastane.com.tr,,Windows-1252,iso8859_9
hasznalati-utasitasok.hu,utf-8,utf-8,utf-8
hasznaltat.hu,utf-8,utf-8,utf-8
hasznaltauto.hu,UTF-8,utf-8,utf-8
hasznaltcuccok.com,UTF-8,utf-8,utf-8
hatalike.jp,Windows-31J,SHIFT_JIS,SHIFT_JIS
hateblo.jp,utf-8,utf-8,utf-8
hatena.ne.jp,utf-8,Windows-1254,utf-8
hatenablog.com,utf-8,utf-8,utf-8
hatenablog.jp,utf-8,utf-8,utf-8
hatenadiary.com,utf-8,utf-8,utf-8
hatenadiary.jp,utf-8,utf-8,utf-8
hatenadiary.org,utf-8,utf-8,utf-8
hatinh.gov.vn,UTF-8,utf-8,utf-8
hatit.net,iso-8859-1,ascii,ascii
hatkara.net,utf-8,utf-8,
hatkara.vn,UTF-8,ascii,
hatla2ee.com,utf-8,utf-8,utf-8
hatyaifocus.com,utf-8,utf-8,utf-8
haufe.de,UTF-8,utf-8,utf-8
haugenbok.no,UTF-8,Windows-1252,utf-8
haus-griessenkarblick.com,utf-8,ascii,ascii
haus.de,UTF-8,utf-8,utf-8
hausarbeiten.de,"""utf-8""",utf-8,utf-8
hausgarten.net,UTF-8,utf-8,utf-8
hausjournal.net,,ascii,ascii
haustechnikdialog.de,utf-8,utf-8,utf-8
hausverstand.at,UTF-8,UTF-8-SIG,UTF-8-SIG
hauzi.sk,utf-8,ascii,utf-8
havan.com.br,UTF-8,utf-8,utf-8
haveabc.dk,utf-8,Windows-1252,utf-8
haveagood.holiday,utf-8,Windows-1254,utf-8
havehalalwilltravel.com,utf-8,utf-8,utf-8
havenyt.dk,iso-8859-1,ISO-8859-1,latin_1
haveselskabet.dk,utf-8,utf-8,utf-8
hawaaworld.com,utf-8,Windows-1254,utf-8
hawahome.com,UTF-8,utf-8,utf-8
hawaii.ee,utf-8,utf-8,utf-8
hawamer.com,UTF-8,utf-8,utf-8
hayadan.org.il,UTF-8,utf-8,utf-8
hayat.ba,UTF-8,utf-8,utf-8
hayatouki.com,UTF-8,utf-8,utf-8
haynhat.vn,utf-8,utf-8,utf-8
haz.de,UTF-8,utf-8,utf-8
haziallat.hu,utf-8,utf-8,utf-8
hazipatika.com,iso-8859-2,ISO-8859-1,ISO-8859-2
hbl.com,,ascii,ascii
hbl.fi,UTF-8,utf-8,utf-8
hbogo.bg,UTF-8,utf-8,utf-8
hbogo.hr,UTF-8,utf-8,utf-8
hbogo.hu,UTF-8,utf-8,utf-8
hbogo.pl,UTF-8,utf-8,utf-8
hbogo.ro,UTF-8,utf-8,utf-8
hbogo.rs,UTF-8,utf-8,utf-8
hbogo.si,UTF-8,utf-8,utf-8
hbr.org,utf-8,utf-8,utf-8
hbtf.com,us-ascii,ascii,ascii
hbvl.be,utf-8,utf-8,utf-8
hc.com.vn,,utf-8,utf-8
hcdn.gob.ar,UTF-8,utf-8,utf-8
hcp.ma,UTF-8,utf-8,utf-8
hcu.ac.th,,ascii,ascii
hd.co.th,utf-8,Windows-1254,utf-8
hd.se,utf-8,utf-8,utf-8
hd01.ru,,utf-8,utf-8
hd9.mobi,UTF-8,Windows-1252,utf-8
hdb.gov.sg,utf-8,Windows-1252,utf-8
hdblog.it,iso-8859-1,Windows-1252,latin_1
hdfcbank.com,UTF-8,utf-8,utf-8
hdfilmcehennemi2.pw,,utf-8,utf-8
hdjum.com,UTF-8,ascii,utf-8
hdmotori.it,iso-8859-1,ISO-8859-1,latin_1
hdsaprevodom.com,,ascii,ascii
hdtvpolska.com,UTF-8,utf-8,utf-8
hdzo.tv,iso-8859-1,ascii,ascii
he2.wiki,,ascii,ascii
headlightmag.com,,utf-8,utf-8
healcentral.org,UTF-8,utf-8,utf-8
health-diet.ru,UTF-8,Windows-1254,utf-8
health-ua.com,UTF-8,utf-8,utf-8
health.com,utf-8,utf-8,utf-8
health.go.ke,UTF-8,utf-8,utf-8
health.gov.au,utf-8,utf-8,utf-8
health.gov.il,utf-8,ascii,ascii
health.gov.lk,UTF-8,ascii,latin_1
health.govt.nz,utf-8,utf-8,utf-8
health.qld.gov.au,utf-8,utf-8,utf-8
health.vic.gov.au,utf-8,utf-8,utf-8
healthcare4ppl.com,UTF-8,ascii,utf-8
healthcarethai.com,UTF-8,utf-8,
healthdirect.gov.au,utf-8,utf-8,utf-8
healthengine.com.au,UTF-8,utf-8,utf-8
healthgrades.com,,,utf-8
healthhub.sg,utf-8,utf-8,
healthline.com,utf-8,utf-8,
healthlinkbc.ca,utf-8,utf-8,utf-8
healthnavigator.org.nz,utf-8,utf-8,utf-8
healthpages.co.nz,UTF-8,utf-8,
healthplus.vn,UTF-8,utf-8,utf-8
healthpoint.co.nz,utf-8,utf-8,utf-8
healthserv.net,utf-8,utf-8,utf-8
healthshare.com.au,utf-8,Windows-1252,utf-8
healthvietnam.vn,UTF-8,utf-8,utf-8
healthycatchups.com,iso-8859-1,ascii,ascii
healthychildren.org,utf-8,utf-8,
healthyfood.com,UTF-8,utf-8,
healthyliving.gr,UTF-8,utf-8,utf-8
healthzaa.com,UTF-8,ascii,utf-8
heart.co.uk,utf-8,utf-8,utf-8
heartbeats.dk,,ascii,ascii
heartofthecity.co.nz,UTF-8,utf-8,utf-8
hearts-yachiyo.jp,UTF-8,UTF-8-SIG,UTF-8-SIG
heathcotes.co.nz,utf-8,utf-8,utf-8
heatmaster.jp,UTF-8,utf-8,utf-8
heavy.com,UTF-8,utf-8,utf-8
heb.com,,ascii,ascii
heb.com.mx,UTF-8,utf-8,utf-8
hebban.nl,,ascii,ascii
hebe.pl,UTF-8,utf-8,utf-8
hebpsy.net,,ascii,ascii
hebrew-academy.org.il,UTF-8,utf-8,utf-8
hebrewbooks.org,utf-8,utf-8,utf-8
hebrewnews.com,UTF-8,utf-8,utf-8
hec.gov.pk,utf-8,utf-8,
hedensted.dk,utf-8,utf-8,utf-8
hediyesepeti.com,UTF-8,utf-8,utf-8
hedvabnastezka.cz,UTF-8,Windows-1254,utf-8
heho.com.tw,UTF-8,utf-8,utf-8
heikedesign.com,UTF-8,ascii,ascii
heili.fi,utf-8,utf-8,utf-8
heilpraxisnet.de,,utf-8,utf-8
heim.jp,utf-8,utf-8,utf-8
heimwerker.de,utf-8,utf-8,utf-8
heinontukku.fi,UTF-8,utf-8,utf-8
heinze.de,UTF-8,utf-8,utf-8
heise.de,UTF-8,Windows-1252,utf-8
heiwerken-pvantwout.nl,utf-8,ascii,ascii
hej.sk,utf-8,utf-8,utf-8
hektapatur.no,,utf-8,utf-8
hel.fi,UTF-8,utf-8,utf-8
helagotland.se,,utf-8,utf-8
helahalsingland.se,utf-8,utf-8,utf-8
helg.no,utf-8,utf-8,utf-8
