handyman.dk,"HTTPSConnectionPool(host='handyman.dk', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='handyman.dk', port=443): Read timed out. (read timeout=2)"
hankyu-travel.com,"HTTPSConnectionPool(host='hankyu-travel.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='hankyu-travel.com', port=443): Read timed out. (read timeout=2)"
hanlefang.net,"HTTPSConnectionPool(host='hanlefang.net', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8483e1a3d0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='hanlefang.net', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f84838dbbe0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
hardwarehouse.co.th,"HTTPSConnectionPool(host='www.hardwarehouse.co.th', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.hardwarehouse.co.th', port=443): Read timed out. (read timeout=2)"
haritane.com,"HTTPSConnectionPool(host='haritane.com', port=443): Read timed out.","HTTPConnectionPool(host='haritane.com', port=80): Read timed out. (read timeout=2)"
harku.ee,"HTTPSConnectionPool(host='www.harku.ee', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.harku.ee', port=443): Read timed out. (read timeout=2)"
harpersbazaar.com.sg,"HTTPSConnectionPool(host='harpersbazaar.com.sg', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8481394ca0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='harpersbazaar.com.sg', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f848276f7c0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
harveynorman.co.nz,"HTTPSConnectionPool(host='www.harveynorman.co.nz', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.harveynorman.co.nz', port=443): Read timed out. (read timeout=2)"
hasil.gov.my,"HTTPSConnectionPool(host='hasil.gov.my', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f84835560d0>, 'Connection to hasil.gov.my timed out. (connect timeout=2)'))","HTTPConnectionPool(host='hasil.gov.my', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f8485018be0>, 'Connection to hasil.gov.my timed out. (connect timeout=2)'))"
hausarbeiten.de,"HTTPSConnectionPool(host='www.hausarbeiten.de', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.hausarbeiten.de', port=443): Read timed out. (read timeout=2)"
hausinfo.ch,"HTTPSConnectionPool(host='hausinfo.ch', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f8480700af0>, 'Connection to hausinfo.ch timed out. (connect timeout=2)'))","HTTPConnectionPool(host='hausinfo.ch', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f8481080430>, 'Connection to hausinfo.ch timed out. (connect timeout=2)'))"
haya.es,Exceeded 30 redirects.,Exceeded 30 redirects.
hazu.hr,"HTTPSConnectionPool(host='hazu.hr', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f847f4e3a90>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='hazu.hr', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f84807ccfa0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
