kddi.com,"HTTPSConnectionPool(host='kddi.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1131)')))","HTTPSConnectionPool(host='www.kddi.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1131)')))"
keeng.vn,"HTTPSConnectionPool(host='keeng.vn', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='keeng.vn', port=80): Read timed out. (read timeout=2)"
kenanaonline.com,"HTTPSConnectionPool(host='kenanaonline.com', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='kenanaonline.com', port=80): Read timed out. (read timeout=2)"
kenyanews.go.ke,"HTTPSConnectionPool(host='kenyanews.go.ke', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))","HTTPSConnectionPool(host='kenyanews.go.ke', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))"
kerix.net,"HTTPSConnectionPool(host='kerix.net', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'kerix.net' doesn't match 'www.kerix.net'"")))","HTTPSConnectionPool(host='kerix.net', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'kerix.net' doesn't match 'www.kerix.net'"")))"
keskkonnainfo.ee,"HTTPSConnectionPool(host='keskkonnainfo.ee', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f511bfd8b80>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='keskkonnainfo.ee', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f511d36c100>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
kesko.fi,"HTTPSConnectionPool(host='www.kesko.fi', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.kesko.fi', port=443): Read timed out. (read timeout=2)"
kg.ac.rs,"HTTPSConnectionPool(host='kg.ac.rs', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))","HTTPSConnectionPool(host='kg.ac.rs', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))"
kget.jp,"HTTPSConnectionPool(host='kget.jp', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: EE certificate key too weak (_ssl.c:1131)')))","HTTPConnectionPool(host='www.kget.jp', port=80): Read timed out. (read timeout=2)"
khaboronline.com,"HTTPSConnectionPool(host='khaboronline.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='khaboronline.com', port=443): Read timed out. (read timeout=2)"
khandbahale.com,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))","HTTPSConnectionPool(host='khandbahale.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1131)')))"
