loga.vn,"HTTPSConnectionPool(host='loga.vn', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='loga.vn', port=80): Read timed out. (read timeout=2)"
logicrdv.fr,"HTTPSConnectionPool(host='logicrdv.fr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='www.logicrdv.fr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
loja.gob.ec,"HTTPSConnectionPool(host='loja.gob.ec', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='www.loja.gob.ec', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
lombardiabeniculturali.it,"HTTPSConnectionPool(host='www.lombardiabeniculturali.it', port=443): Read timed out.","HTTPSConnectionPool(host='www.lombardiabeniculturali.it', port=443): Read timed out. (read timeout=2)"
lonestarinspectioncompany.com,"HTTPSConnectionPool(host='lonestarinspectioncompany.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7ff9c4a2ecd0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='lonestarinspectioncompany.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff9c4b18130>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
looduspere.ee,"HTTPSConnectionPool(host='www.looduspere.ee', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.looduspere.ee', port=443): Read timed out. (read timeout=2)"
lookup.pk,"HTTPSConnectionPool(host='lookup.pk', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.lookup.pk', port=443): Read timed out. (read timeout=2)"
loopnet.com,"HTTPSConnectionPool(host='loopnet.com', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='loopnet.com', port=80): Read timed out. (read timeout=2)"
lorientlejour.com,"HTTPSConnectionPool(host='www.lorientlejour.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.lorientlejour.com', port=443): Read timed out. (read timeout=2)"
lowes.ca,"HTTPSConnectionPool(host='www.lowes.ca', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.lowes.ca', port=443): Read timed out. (read timeout=2)"
lowes.com,"HTTPSConnectionPool(host='www.lowes.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.lowes.com', port=443): Read timed out. (read timeout=2)"
