skijanje.rs,"HTTPSConnectionPool(host='www.skijanje.rs', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.skijanje.rs', port=443): Read timed out. (read timeout=2)"
skoleporten.dk,"HTTPSConnectionPool(host='skoleporten.dk', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f423c54ae50>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='skoleporten.dk', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f423bd715b0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
skru.ac.th,"HTTPSConnectionPool(host='skru.ac.th', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f423b5e5340>: Failed to establish a new connection: [Errno 101] Network is unreachable'))","HTTPConnectionPool(host='skru.ac.th', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f423cb67fa0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))"
skuhaj.si,"HTTPSConnectionPool(host='skuhaj.si', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1131)')))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
skylark.co.jp,"HTTPSConnectionPool(host='skylark.co.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f423b0faa30>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='skylark.co.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f423bddbc10>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
skyperfectv.co.jp,"HTTPConnectionPool(host='www.skyperfectv.co.jp', port=80): Read timed out. (read timeout=2)","HTTPConnectionPool(host='skyperfectv.co.jp', port=80): Read timed out. (read timeout=2)"
skytech.lt,"HTTPSConnectionPool(host='skytech.lt', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1131)')))","HTTPSConnectionPool(host='www.skytech.lt', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1131)')))"
sld.cu,"HTTPSConnectionPool(host='sld.cu', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f423c75b8b0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='sld.cu', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f423bf0ef10>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
sliven.net,"HTTPSConnectionPool(host='sliven.net', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='sliven.net', port=443): Read timed out. (read timeout=2)"
slmix.lk,"HTTPSConnectionPool(host='slmix.lk', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='slmix.lk', port=80): Read timed out. (read timeout=2)"
smartech.ee,"HTTPSConnectionPool(host='www.smartech.ee', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.smartech.ee', port=443): Read timed out. (read timeout=2)"
