trakya.edu.tr,"HTTPSConnectionPool(host='trakya.edu.tr', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fcbcfadd040>, 'Connection to trakya.edu.tr timed out. (connect timeout=2)'))","HTTPConnectionPool(host='trakya.edu.tr', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fcbcd64f490>, 'Connection to trakya.edu.tr timed out. (connect timeout=2)'))"
trans-suite.jp,"HTTPSConnectionPool(host='trans-suite.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fcbce96e340>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='trans-suite.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fcbcd2ba640>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
transitlink.com.sg,"HTTPSConnectionPool(host='transitlink.com.sg', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'transitlink.com.sg' doesn't match either of 'tlwebmail.transitlink.com.sg', 'www.tlwebmail.transitlink.com.sg', 'lb.transitlink.com.sg', 'www.transitlink.com.sg', 'autodiscover.transitlink.com.sg', 'failover.transitlink.com.sg'"")))","HTTPConnectionPool(host='transitlink.com.sg', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fcbcd145ee0>, 'Connection to transitlink.com.sg timed out. (connect timeout=2)'))"
translate.ru,"HTTPSConnectionPool(host='translate.ru', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1124)')))","HTTPSConnectionPool(host='www.translate.ru', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:1124)')))"
traum-ferienwohnungen.de,"HTTPSConnectionPool(host='www.traum-ferienwohnungen.de', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.traum-ferienwohnungen.de', port=443): Read timed out. (read timeout=2)"
treasury.go.th,"HTTPSConnectionPool(host='treasury.go.th', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fcbcad06d30>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='treasury.go.th', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fcbcc3c6340>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
treasury.gov.za,"HTTPSConnectionPool(host='treasury.gov.za', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fcbccdb5ac0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='treasury.gov.za', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fcbcbe48490>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
trekpleister.nl,"HTTPSConnectionPool(host='trekpleister.nl', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='trekpleister.nl', port=80): Read timed out. (read timeout=2)"
tri-o.rs,"HTTPSConnectionPool(host='www.tri-o.rs', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.tri-o.rs', port=443): Read timed out. (read timeout=2)"
triangletechhire.com,"HTTPSConnectionPool(host='triangletechhire.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fcbc9f36fa0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='triangletechhire.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fcbcd64ff10>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
tribune.bg,"HTTPSConnectionPool(host='tribune.bg', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='tribune.bg', port=443): Read timed out. (read timeout=2)"
tribune.com.pk,"HTTPSConnectionPool(host='tribune.com.pk', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='tribune.com.pk', port=443): Read timed out. (read timeout=2)"
tribuneindia.com,"HTTPSConnectionPool(host='tribuneindia.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.tribuneindia.com', port=443): Read timed out. (read timeout=2)"
trithuccuocsong.vn,"HTTPSConnectionPool(host='trithuccuocsong.vn', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='trithuccuocsong.vn', port=443): Read timed out. (read timeout=2)"
triton.com.ro,"HTTPSConnectionPool(host='triton.com.ro', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.triton.com.ro', port=443): Read timed out. (read timeout=2)"
