ul.pt,UTF-8,utf-8,utf_8
ula.ve,utf-8,utf-8,utf_8
ulac.lt,,utf-8,utf_8
ulapland.fi,utf-8,utf-8,utf_8
ulasantempat.com,UTF-8,,utf_8
ulbsibiu.ro,UTF-8,utf-8,utf_8
uleam.edu.ec,UTF-8,utf-8,utf_8
ulekare.cz,UTF-8,utf-8,utf_8
ulemiste.ee,UTF-8,utf-8,utf_8
ulf-m.net,utf-8,ascii,big5
uliege.be,UTF-8,utf-8,utf_8
ulifestyle.com.hk,UTF-8,UTF-8-SIG,utf_8
ulisboa.pt,utf-8,utf-8,utf_8
ull.es,UTF-8,utf-8,utf_8
ulm.ac.id,UTF-8,utf-8,utf_8
uloz.to,utf-8,utf-8,utf_8
ulozto.sk,utf-8,utf-8,utf_8
ulpgc.es,UTF-8,utf-8,utf_8
ulta.com,UTF-8,ascii,ascii
ultimahora.es,UTF-8,utf-8,utf_8
ultimahora.sv,UTF-8,utf-8,utf_8
ultimasnoticias.com.ve,,ascii,ascii
ultimasnoticias.ec,UTF-8,utf-8,utf_8
ultimate-guitar.com,UTF-8,ascii,ascii
ultimatespecs.com,UTF-8,utf-8,utf_8
ultimenotizieflash.com,UTF-8,Windows-1252,utf_8
ultracasas.com,UTF-8,utf-8,utf_8
ultrafarma.com.br,utf-8,utf-8,utf_8
ultrasawt.com,utf-8,utf-8,utf_8
ultratop.be,,ascii,ascii
uludag.edu.tr,UTF-8,utf-8,utf_8
uludagsozluk.com,UTF-8,utf-8,utf_8
ulusal.com.tr,utf-8,utf-8,utf_8
ulusofona.pt,UTF-8,utf-8,utf_8
ulvr.edu.ec,UTF-8,utf-8,utf_8
um-palembang.ac.id,UTF-8,utf-8,utf_8
um.ac.id,UTF-8,ascii,ascii
um.dk,utf-8,utf-8,
um.edu.my,UTF-8,utf-8,utf_8
um.edu.uy,UTF-8,utf-8,utf_8
um.es,UTF-8,utf-8,utf_8
um.fi,UTF-8,utf-8,utf_8
um.si,utf-8,utf-8,utf_8
uma.ac.id,UTF-8,utf-8,cp437
uma.pt,UTF-8,utf-8,utf_8
umami.ee,UTF-8,utf-8,utf_8
umami.fi,UTF-8,utf-8,utf_8
umass.edu,utf-8,utf-8,utf_8
umb.sk,utf-8,utf-8,utf_8
umc.edu.dz,utf-8,utf-8,utf_8
umcg.nl,UTF-8,utf-8,
umcomo.com.br,UTF-8,utf-8,utf_8
umcs.pl,utf-8,utf-8,utf_8
umcutrecht.nl,utf-8,utf-8,cp1250
umd.edu,utf-8,utf-8,utf_8
umfcluj.ro,,ascii,ascii
umfcv.ro,,ISO-8859-1,cp1250
umft.ro,UTF-8,utf-8,utf_8
umg.edu.gt,UTF-8,utf-8,utf_8
umh.es,UTF-8,utf-8,utf_8
umich.edu,utf-8,Windows-1254,utf_8
umig.it,UTF-8,ascii,ascii
umin.ac.jp,,utf-8,utf_8
umitcelik.net,UTF-8,utf-8,utf_8
umj.ac.id,UTF-8,utf-8,utf_8
umj.com.ua,UTF-8,utf-8,utf_8
umk.pl,,utf-8,utf_8
umma.id,utf-8,ascii,ascii
umn.edu,UTF-8,utf-8,utf_8
umniah.com,utf-8,utf-8,utf_8
umo.se,utf-8,utf-8,utf_8
umontreal.ca,utf-8,Windows-1254,utf_8
ump.ac.id,UTF-8,ISO-8859-1,utf_8
ump.edu.my,UTF-8,utf-8,utf_8
umpo.ac.id,UTF-8,utf-8,utf_8
umsida.ac.id,UTF-8,utf-8,
umsu.ac.id,UTF-8,utf-8,utf_8
umt.edu.pk,utf-8,ascii,ascii
umu.se,utf-8,utf-8,utf_8
umy.ac.id,UTF-8,utf-8,utf_8
un.org,UTF-8,utf-8,utf_8
una.ac.cr,,,utf_8
una.edu.ni,utf-8,utf-8,utf_8
unab.cl,UTF-8,utf-8,utf_8
unab.edu.co,utf-8,utf-8,utf_8
unacademy.com,utf-8,utf-8,utf_8
unadonna.it,UTF-8,utf-8,utf_8
unair.ac.id,UTF-8,ascii,ascii
unal.edu.co,utf-8,utf-8,utf_8
unam.mx,UTF-8,ascii,ascii
unand.ac.id,utf-8,utf-8,utf_8
unanleon.edu.ni,ISO-8859-1,utf-8,utf_8
unansea.com,UTF-8,utf-8,utf_8
