wikishia.net,"HTTPSConnectionPool(host='wikishia.net', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f5f0f767640>, 'Connection to wikishia.net timed out. (connect timeout=2)'))","HTTPConnectionPool(host='wikishia.net', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f5f0ef8abe0>, 'Connection to wikishia.net timed out. (connect timeout=2)'))"
wikizero.com,"HTTPSConnectionPool(host='wikizero.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='wikizero.com', port=443): Read timed out. (read timeout=2)"
willhaben.at,"HTTPSConnectionPool(host='willhaben.at', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='willhaben.at', port=80): Read timed out. (read timeout=2)"
wima.ac.id,"HTTPSConnectionPool(host='wima.ac.id', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f5f0deded90>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='wima.ac.id', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5f0dc51940>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
winwin.rs,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))","('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
wixsite.com,"HTTPSConnectionPool(host='wixsite.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f5f0c7c96a0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='wixsite.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5f0ef8aa30>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
wordsense.eu,"HTTPSConnectionPool(host='www.wordsense.eu', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.wordsense.eu', port=443): Read timed out. (read timeout=2)"
world.co.jp,"HTTPSConnectionPool(host='world.co.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f5f0dad3100>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='world.co.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5f0b9e7fd0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
wunschliste.de,"HTTPSConnectionPool(host='www.wunschliste.de', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.wunschliste.de', port=443): Read timed out. (read timeout=2)"
wurth.fi,"HTTPSConnectionPool(host='wurth.fi', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f5f0cbe1070>: Failed to establish a new connection: [Errno 111] Connection refused'))","HTTPSConnectionPool(host='eshop.wurth.fi', port=443): Read timed out. (read timeout=2)"
www.gdansk.pl,"HTTPSConnectionPool(host='www.gdansk.pl', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.gdansk.pl', port=443): Read timed out. (read timeout=2)"
www.gob.ec,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))","('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
www.poznan.pl,"HTTPSConnectionPool(host='www.poznan.pl', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.poznan.pl', port=443): Read timed out. (read timeout=2)"
wyborkierowcow.pl,"HTTPSConnectionPool(host='www.wyborkierowcow.pl', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.wyborkierowcow.pl', port=443): Read timed out. (read timeout=2)"
xasaxa.com,"HTTPSConnectionPool(host='xasaxa.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='xasaxa.com', port=443): Read timed out. (read timeout=2)"
