zm.gov.lv,UTF-8,utf-8,utf_8
zmaga.com,UTF-8,utf-8,utf_8
zman.co.il,UTF-8,utf-8,utf_8
zmenu.com,utf-8,utf-8,utf_8
zmiksowani.pl,UTF-8,utf-8,utf_8
zmones.lt,UTF-8,utf-8,utf_8
zmoniuknygos.lt,iso-8859-1,ascii,ascii
zmyhome.com,UTF-8,utf-8,utf_8
zn.sk,UTF-8,utf-8,utf_8
zn.ua,UTF-8,utf-8,utf_8
znaj.ua,UTF-8,utf-8,utf_8
znak.com,utf-8,utf-8,utf_8
znak.com.pl,utf-8,utf-8,utf_8
znalezisko.pl,UTF-8,utf-8,utf_8
znamylekar.cz,UTF-8,utf-8,utf_8
znanija.com,utf-8,ascii,ascii
znanje.hr,UTF-8,utf-8,utf_8
znanje.org,,utf-8,utf_8
znanjesveta.com,UTF-8,utf-8,utf_8
znanylekarz.pl,UTF-8,utf-8,utf_8
znatko.com,utf-8,utf-8,utf_8
znews.gr,UTF-8,ascii,ascii
zo.lv,utf-8,utf-8,utf_8
zocdoc.com,,ascii,ascii
zodio.fr,,utf-8,utf_8
zodis.eu,iso-8859-1,ascii,ascii
zodynas.lt,UTF-8,utf-8,utf_8
zoeken.nl,UTF-8,ascii,ascii
zoekplaats.nl,UTF-8,Windows-1254,cp1125
zofingertagblatt.ch,UTF-8,utf-8,utf_8
zoho.com,,utf-8,utf_8
zol.com.cn,gbk,GB2312,gb18030
zolo.ca,UTF-8,ascii,ascii
zomato.com,,ascii,ascii
zon.it,UTF-8,utf-8,utf_8
zon.si,UTF-8,utf-8,utf_8
zona.media,utf-8,utf-8,utf_8
zonacero.com,utf-8,utf-8,utf_8
zonajobs.com.ar,UTF-8,ascii,ascii
zonaprop.com.ar,UTF-8,ascii,ascii
zonebourse.com,ISO-8859-1,Windows-1252,iso8859_15
zones.sk,UTF-8,utf-8,utf_8
zong.com.pk,UTF-8,utf-8,utf_8
zoocentrs.lv,UTF-8,utf-8,utf_8
zoohit.cz,,Windows-1254,utf_8
zoohit.si,,Windows-1254,utf_8
zoohit.sk,,utf-8,utf_8
zoom.com.br,utf-8,utf-8,utf_8
zoom.hu,UTF-8,utf-8,utf_8
zoom.nl,utf-8,utf-8,utf_8
zoom.us,utf-8,utf-8,utf_8
zoomcar.fr,utf-8,ascii,ascii
zoomin.co.nz,utf-8,Windows-1254,utf_8
zoominfo.com,,ascii,ascii
zoomtunisia.net,UTF-8,utf-8,utf_8
zoomtventertainment.com,utf-8,UTF-8-SIG,utf_8_sig
zoon.com.ua,utf-8,Windows-1254,utf_8
zoon.ru,utf-8,Windows-1254,utf_8
zoonphra.com,TIS-620,TIS-620,iso8859_11
zoopla.co.uk,utf-8,utf-8,utf_8
zooplus.de,,utf-8,utf_8
zooplus.fi,,utf-8,utf_8
zooplus.hu,,Windows-1254,utf_8
zooplus.nl,,Windows-1254,utf_8
zooplus.pl,,Windows-1254,utf_8
